변수,타입,디바이스,사용 유무,HMI,설명문
IO_T1_PUMP_2_OVERLOAD_TRIP,BIT,M0417,0,0,1번 집수조 배수펌프 2 과부하/열동 트립
CNT_T1_PUMP_2_MCC_CB_OK,BIT,M0703,0,0,1번 집수조 배수펌프 2 MCC 차단기 정상
SEQ_T1_PUMP_2_LOCAL_AUTO_OK,BIT,M0101,0,0,1번 집수조 배수펌프 2 현장 Local Auto 가능 상태
IO_T1_PUMP_2_LOCAL_MANUAL_REQ,BIT,M0418,0,0,1번 집수조 배수펌프 2 현장 수동 운전 요청
TM_T1_PUMP_2_MAINT_KEY_ON,BIT,M0601,0,0,1번 집수조 배수펌프 2 정비 키/점검 모드 선택
IO_T1_PUMP_3_RUN_FB,BIT,M0419,0,0,1번 집수조 배수펌프 3 운전 피드백
SYS_T1_PUMP_3_FAULT_FB,BIT,M0003,0,0,1번 집수조 배수펌프 3 고장 피드백
IO_T1_PUMP_3_OVERLOAD_TRIP,BIT,M0420,0,0,1번 집수조 배수펌프 3 과부하/열동 트립
CNT_T1_PUMP_3_MCC_CB_OK,BIT,M0704,0,0,1번 집수조 배수펌프 3 MCC 차단기 정상
SEQ_T1_PUMP_3_LOCAL_AUTO_OK,BIT,M0102,0,0,1번 집수조 배수펌프 3 현장 Local Auto 가능 상태
IO_T1_PUMP_3_LOCAL_MANUAL_REQ,BIT,M0421,0,0,1번 집수조 배수펌프 3 현장 수동 운전 요청
TM_T1_PUMP_3_MAINT_KEY_ON,BIT,M0602,0,0,1번 집수조 배수펌프 3 정비 키/점검 모드 선택
IO_T2_PUMP_1_RUN_FB,BIT,M0422,0,0,2번 집수조 이송펌프 1 운전 피드백
SYS_T2_PUMP_1_FAULT_FB,BIT,M0004,0,0,2번 집수조 이송펌프 1 고장 피드백
IO_T2_PUMP_1_OVERLOAD_TRIP,BIT,M0423,0,0,2번 집수조 이송펌프 1 과부하/열동 트립
CNT_T2_PUMP_1_MCC_CB_OK,BIT,M0705,0,0,2번 집수조 이송펌프 1 MCC 차단기 정상
SEQ_T2_PUMP_1_LOCAL_AUTO_OK,BIT,M0103,0,0,2번 집수조 이송펌프 1 현장 Local Auto 가능 상태
IO_T2_PUMP_1_LOCAL_MANUAL_REQ,BIT,M0424,0,0,2번 집수조 이송펌프 1 현장 수동 운전 요청
TM_T2_PUMP_1_MAINT_KEY_ON,BIT,M0603,0,0,2번 집수조 이송펌프 1 정비 키/점검 모드 선택
IO_T2_PUMP_2_RUN_FB,BIT,M0425,0,0,2번 집수조 이송펌프 2 운전 피드백
SYS_T2_PUMP_2_FAULT_FB,BIT,M0005,0,0,2번 집수조 이송펌프 2 고장 피드백
IO_T2_PUMP_2_OVERLOAD_TRIP,BIT,M0426,0,0,2번 집수조 이송펌프 2 과부하/열동 트립
CNT_T2_PUMP_2_MCC_CB_OK,BIT,M0706,0,0,2번 집수조 이송펌프 2 MCC 차단기 정상
SEQ_T2_PUMP_2_LOCAL_AUTO_OK,BIT,M0104,0,0,2번 집수조 이송펌프 2 현장 Local Auto 가능 상태
IO_T2_PUMP_2_LOCAL_MANUAL_REQ,BIT,M0427,0,0,2번 집수조 이송펌프 2 현장 수동 운전 요청
TM_T2_PUMP_2_MAINT_KEY_ON,BIT,M0604,0,0,2번 집수조 이송펌프 2 정비 키/점검 모드 선택
IO_T1_DRAIN_VALVE_OPEN_FB,BIT,M0428,0,0,1번 집수조 배수밸브 열림 피드백
IO_T1_DRAIN_VALVE_CLOSE_FB,BIT,M0429,0,0,1번 집수조 배수밸브 닫힘 피드백
SYS_T1_DRAIN_VALVE_FAULT_FB,BIT,M0006,0,0,1번 집수조 배수밸브 밸브 고장 피드백
IO_T1_ISOLATION_VALVE_OPEN_FB,BIT,M0430,0,0,1번 집수조 차단밸브 열림 피드백
IO_T1_ISOLATION_VALVE_CLOSE_FB,BIT,M0431,0,0,1번 집수조 차단밸브 닫힘 피드백
SYS_T1_ISOLATION_VALVE_FAULT_FB,BIT,M0007,0,0,1번 집수조 차단밸브 밸브 고장 피드백
IO_T1_BYPASS_VALVE_OPEN_FB,BIT,M0432,0,0,1번 집수조 우회밸브 열림 피드백
IO_T1_BYPASS_VALVE_CLOSE_FB,BIT,M0433,0,0,1번 집수조 우회밸브 닫힘 피드백
SYS_T1_BYPASS_VALVE_FAULT_FB,BIT,M0008,0,0,1번 집수조 우회밸브 밸브 고장 피드백
IO_T2_TRANSFER_VALVE_OPEN_FB,BIT,M0434,0,0,2번 집수조 이송밸브 열림 피드백
IO_T2_TRANSFER_VALVE_CLOSE_FB,BIT,M0435,0,0,2번 집수조 이송밸브 닫힘 피드백
SYS_T2_TRANSFER_VALVE_FAULT_FB,BIT,M0009,0,0,2번 집수조 이송밸브 밸브 고장 피드백
IO_T2_ISOLATION_VALVE_OPEN_FB,BIT,M0436,0,0,2번 집수조 차단밸브 열림 피드백
IO_T2_ISOLATION_VALVE_CLOSE_FB,BIT,M0437,0,0,2번 집수조 차단밸브 닫힘 피드백
SYS_T2_ISOLATION_VALVE_FAULT_FB,BIT,M0010,0,0,2번 집수조 차단밸브 밸브 고장 피드백
IO_WWTP_DISCHARGE_VALVE_OPEN_FB,BIT,M0438,0,0,폐수처리장 배출밸브 열림 피드백
IO_WWTP_DISCHARGE_VALVE_CLOSE_FB,BIT,M0439,0,0,폐수처리장 배출밸브 닫힘 피드백
SYS_WWTP_DISCHARGE_VALVE_FAULT_FB,BIT,M0011,0,0,폐수처리장 배출밸브 밸브 고장 피드백
IO_LEAK_T1_AREA_DETECTED,BIT,M0440,0,0,1번 집수조 주변 누수 감지
IO_LEAK_T2_AREA_DETECTED,BIT,M0441,0,0,2번 집수조 주변 누수 감지
IO_LEAK_T1_TRENCH_DETECTED,BIT,M0442,0,0,1번 집수조 배수 트렌치 누수 감지
IO_LEAK_T2_TRENCH_DETECTED,BIT,M0443,0,0,2번 집수조 배수 트렌치 누수 감지
CNT_LEAK_MCC_ROOM_DETECTED,BIT,M0707,0,0,MCC실 누수 감지
TM_LEAK_VALVE_PIT_DETECTED,BIT,M0605,0,0,밸브 피트 누수 감지
IO_T1_PUMP_1_FLOW_OK,BIT,M0444,0,0,1번 집수조 배수펌프 1 유량 감지 정상
IO_T1_PUMP_2_FLOW_OK,BIT,M0445,0,0,1번 집수조 배수펌프 2 유량 감지 정상
IO_T1_PUMP_3_FLOW_OK,BIT,M0446,0,0,1번 집수조 배수펌프 3 유량 감지 정상
IO_T2_PUMP_1_FLOW_OK,BIT,M0447,0,0,2번 집수조 이송펌프 1 유량 감지 정상
IO_T2_PUMP_2_FLOW_OK,BIT,M0448,0,0,2번 집수조 이송펌프 2 유량 감지 정상
SYS_T1_LEVEL_TRANSMITTER_FAULT,BIT,M0012,0,0,1번 집수조 아날로그 수위계 이상
SYS_T2_LEVEL_TRANSMITTER_FAULT,BIT,M0013,0,0,2번 집수조 아날로그 수위계 이상
SPARE_DI_084,BIT,M0900,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_085,BIT,M0901,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_086,BIT,M0902,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_087,BIT,M0903,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_088,BIT,M0904,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_089,BIT,M0905,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_090,BIT,M0906,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_091,BIT,M0907,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_092,BIT,M0908,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_093,BIT,M0909,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_094,BIT,M0910,0,0,예비 DI 채널 - 미배선/검토용
SPARE_DI_095,BIT,M0911,0,0,예비 DI 채널 - 미배선/검토용
IO_T1_PUMP_1_RUN_CMD,BIT,M0449,0,0,1번 집수조 배수펌프 1 운전 명령
IO_T1_PUMP_2_RUN_CMD,BIT,M0450,0,0,1번 집수조 배수펌프 2 운전 명령
IO_T1_PUMP_3_RUN_CMD,BIT,M0451,0,0,1번 집수조 배수펌프 3 운전 명령
IO_T2_PUMP_1_RUN_CMD,BIT,M0452,0,0,2번 집수조 이송펌프 1 운전 명령
IO_T2_PUMP_2_RUN_CMD,BIT,M0453,0,0,2번 집수조 이송펌프 2 운전 명령
IO_T1_DRAIN_VALVE_OPEN_CMD,BIT,M0454,0,0,1번 집수조 배수밸브 열림 명령
IO_T1_DRAIN_VALVE_CLOSE_CMD,BIT,M0455,0,0,1번 집수조 배수밸브 닫힘 명령
IO_T1_ISOLATION_VALVE_OPEN_CMD,BIT,M0456,0,0,1번 집수조 차단밸브 열림 명령
IO_T1_ISOLATION_VALVE_CLOSE_CMD,BIT,M0457,0,0,1번 집수조 차단밸브 닫힘 명령
IO_T1_BYPASS_VALVE_OPEN_CMD,BIT,M0458,0,0,1번 집수조 우회밸브 열림 명령
IO_T1_BYPASS_VALVE_CLOSE_CMD,BIT,M0459,0,0,1번 집수조 우회밸브 닫힘 명령
IO_T2_TRANSFER_VALVE_OPEN_CMD,BIT,M0460,0,0,2번 집수조 이송밸브 열림 명령
IO_T2_TRANSFER_VALVE_CLOSE_CMD,BIT,M0461,0,0,2번 집수조 이송밸브 닫힘 명령
IO_T2_ISOLATION_VALVE_OPEN_CMD,BIT,M0462,0,0,2번 집수조 차단밸브 열림 명령
IO_T2_ISOLATION_VALVE_CLOSE_CMD,BIT,M0463,0,0,2번 집수조 차단밸브 닫힘 명령
IO_WWTP_DISCHARGE_VALVE_OPEN_CMD,BIT,M0464,0,0,폐수처리장 배출밸브 열림 명령
IO_WWTP_DISCHARGE_VALVE_CLOSE_CMD,BIT,M0465,0,0,폐수처리장 배출밸브 닫힘 명령
IO_TOWER_RED_LAMP,BIT,M0466,0,0,고장/초고수위 적색 경광등
IO_TOWER_YELLOW_LAMP,BIT,M0467,0,0,주의/고수위 황색 경광등
IO_TOWER_GREEN_LAMP,BIT,M0468,0,0,자동운전 정상 녹색 표시등
IO_BUZZER_HIGH,BIT,M0469,0,0,강경보 부저
IO_BUZZER_WARNING,BIT,M0470,0,0,주의경보 부저
AL_HMI_ALARM_HORN,BIT,M0202,0,0,HMI 알람 혼 출력
SYS_MCC_RESET_CMD,BIT,M0014,0,0,MCC 리셋 후보 명령
IO_SYSTEM_RUN_LAMP,BIT,M0471,0,0,시스템 운전 표시등
SEQ_MAINT_MODE_LAMP,BIT,M0105,0,0,정비모드 표시등
IO_AUTO_READY_LAMP,BIT,M0472,0,0,자동운전 준비 표시등
SPARE_DO_027,BIT,M0912,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_028,BIT,M0913,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_029,BIT,M0914,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_030,BIT,M0915,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_031,BIT,M0916,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_032,BIT,M0917,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_033,BIT,M0918,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_034,BIT,M0919,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_035,BIT,M0920,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_036,BIT,M0921,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_037,BIT,M0922,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_038,BIT,M0923,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_039,BIT,M0924,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_040,BIT,M0925,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_041,BIT,M0926,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_042,BIT,M0927,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_043,BIT,M0928,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_044,BIT,M0929,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_045,BIT,M0930,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_046,BIT,M0931,0,0,예비 DO 채널 - 미배선/검토용
SPARE_DO_047,BIT,M0932,0,0,예비 DO 채널 - 미배선/검토용
SYS_SAFETY_OK,BIT,M0015,0,0,ESTOP/MCC/제어전원/누수 기본 안전 조건 정상
SEQ_AUTO_MODE_ACTIVE,BIT,M0106,0,0,자동모드 활성
SEQ_MANUAL_MODE_ACTIVE,BIT,M0107,0,0,수동모드 활성
SEQ_MAINT_MODE_ACTIVE,BIT,M0108,0,0,정비모드 활성
IO_RESUME_REQUIRED,BIT,M0473,0,0,복전 후 재개 확인 필요
SYS_FAULT_LATCH,BIT,M0016,0,0,시스템 고장 래치
IO_T1_PUMP_1_AVAILABLE,BIT,M0474,0,0,T1 펌프1 교번 대상 가능
IO_T1_PUMP_2_AVAILABLE,BIT,M0475,0,0,T1 펌프2 교번 대상 가능
IO_T1_PUMP_3_AVAILABLE,BIT,M0476,0,0,T1 펌프3 교번 대상 가능
IO_T2_PUMP_1_AVAILABLE,BIT,M0477,0,0,T2 펌프1 교번 대상 가능
IO_T2_PUMP_2_AVAILABLE,BIT,M0478,0,0,T2 펌프2 교번 대상 가능
IO_T1_LEAD_INDEX,BIT,M0479,0,0,T1 교번 선두 펌프 인덱스
IO_T2_LEAD_INDEX,BIT,M0480,0,0,T2 교번 선두 펌프 인덱스
IO_T1_STAGE_1_REQ,BIT,M0481,0,0,T1 1대 운전 요구
IO_T1_STAGE_2_REQ,BIT,M0482,0,0,T1 2대 운전 요구
IO_T1_STAGE_3_REQ,BIT,M0483,0,0,T1 3대 운전 요구
IO_T2_STAGE_1_REQ,BIT,M0484,0,0,T2 1대 운전 요구
IO_T2_STAGE_2_REQ,BIT,M0485,0,0,T2 2대 운전 요구
IO_T1_OVERFLOW_RISK,BIT,M0486,0,0,T1 넘침 위험
IO_T2_OVERFLOW_RISK,BIT,M0487,0,0,T2 넘침 위험
SYS_NO_FLOW_FAULT_ANY,BIT,M0017,0,0,운전 중 유량 없음 종합
SYS_VALVE_FAULT_ANY,BIT,M0018,0,0,밸브 동작 실패 종합
SYS_PUMP_FAULT_ANY,BIT,M0019,0,0,펌프 고장 종합
SYS_LEVEL_FAULT_ANY,BIT,M0020,0,0,수위계 이상 종합
SYS_COMM_FAULT,BIT,M0021,0,0,통신 이상
IO_HMI_MANUAL_ENABLE,BIT,M0488,0,0,HMI 수동 운전 허가
IO_LOW_LEVEL_BLOCK_ACTIVE,BIT,M0489,0,0,저수위 공회전 방지 활성
SYS_EMERGENCY_DRAIN_REVIEW_FLAG,BIT,M0022,0,0,비상배수와 저수위 보호 충돌 검토 플래그
IO_T1_ALTERNATION_PULSE,BIT,M0490,0,0,T1 교번 순환 펄스
IO_T2_ALTERNATION_PULSE,BIT,M0491,0,0,T2 교번 순환 펄스
AL_ACKED,BIT,M0203,0,0,알람 확인 상태
IO_FIELD_REVIEW_HOLD,BIT,M0492,0,0,현장 검토 보류
TM_All_Output_Enable,BIT,M0606,0,0,Internal compile helper BOOL generated from ST draft
SYS_Auto_Run_Latch,BIT,M0023,0,0,Internal compile helper BOOL generated from ST draft
TM_Pneumatic_Output_Enable,BIT,M0607,0,0,Internal compile helper BOOL generated from ST draft
AL_Critical_Active,BIT,M0204,0,0,Internal compile helper BOOL generated from ST draft
TM_Reject_Request,BIT,M0608,0,0,Internal compile helper BOOL generated from ST draft
SYS_Safety_OK_02,BIT,M0024,0,0,Internal compile helper BOOL generated from ST draft
SEQ_Auto_Mode,BIT,M0109,0,0,Internal compile helper BOOL generated from ST draft
SEQ_Manual_Mode,BIT,M0110,0,0,Internal compile helper BOOL generated from ST draft
SYS_Reset_Req,BIT,M0025,0,0,Internal compile helper BOOL generated from ST draft
SYS_HMI_Reset,BIT,M0026,0,0,Internal compile helper BOOL generated from ST draft
SYS_Fault_Latch_02,BIT,M0027,0,0,Internal compile helper BOOL generated from ST draft
IO_Wash_Permissive,BIT,M0493,0,0,Internal compile helper BOOL generated from ST draft
IO_Rinse_Permissive,BIT,M0494,0,0,Internal compile helper BOOL generated from ST draft
IO_Drain_Permissive,BIT,M0495,0,0,Internal compile helper BOOL generated from ST draft
IO_Dry_Permissive,BIT,M0496,0,0,Internal compile helper BOOL generated from ST draft
IO_Heater_Permissive,BIT,M0497,0,0,Internal compile helper BOOL generated from ST draft
IO_Cylinder_Permissive,BIT,M0498,0,0,Internal compile helper BOOL generated from ST draft
AL_Cause_Clear,BIT,M0205,0,0,Internal compile helper BOOL generated from ST draft
AL_active,BIT,M0206,0,0,Internal compile helper BOOL generated from ST draft
IO_auto_permissive,BIT,M0499,0,0,Internal compile helper BOOL generated from ST draft
AL_001,BIT,M0207,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_002,BIT,M0208,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_003,BIT,M0209,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_004,BIT,M0210,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_005,BIT,M0211,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_006,BIT,M0212,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_007,BIT,M0213,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_008,BIT,M0214,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_009,BIT,M0215,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_010,BIT,M0216,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_011,BIT,M0217,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_012,BIT,M0218,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_013,BIT,M0219,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_014,BIT,M0220,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_015,BIT,M0221,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_001_02,BIT,M0222,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_002_02,BIT,M0223,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_003_02,BIT,M0224,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_004_02,BIT,M0225,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_005_02,BIT,M0226,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_006_02,BIT,M0227,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_007_02,BIT,M0228,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_008_02,BIT,M0229,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_009_02,BIT,M0230,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_010_02,BIT,M0231,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_011_02,BIT,M0232,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_012_02,BIT,M0233,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_013_02,BIT,M0234,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_014_02,BIT,M0235,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_015_02,BIT,M0236,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_016,BIT,M0237,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_017,BIT,M0238,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_018,BIT,M0239,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_019,BIT,M0240,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_020,BIT,M0241,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_021,BIT,M0242,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_022,BIT,M0243,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_023,BIT,M0244,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_024,BIT,M0245,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_025,BIT,M0246,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_026,BIT,M0247,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_027,BIT,M0248,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_028,BIT,M0249,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_029,BIT,M0250,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_030,BIT,M0251,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_031,BIT,M0252,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_032,BIT,M0253,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_033,BIT,M0254,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_034,BIT,M0255,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_035,BIT,M0256,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_036,BIT,M0257,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_037,BIT,M0258,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_038,BIT,M0259,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_039,BIT,M0260,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_040,BIT,M0261,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_041,BIT,M0262,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_001_03,BIT,M0263,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_002_03,BIT,M0264,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_003_03,BIT,M0265,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_004_03,BIT,M0266,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_005_03,BIT,M0267,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_006_03,BIT,M0268,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_007_03,BIT,M0269,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_008_03,BIT,M0270,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_009_03,BIT,M0271,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_010_03,BIT,M0272,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_011_03,BIT,M0273,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_012_03,BIT,M0274,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_013_03,BIT,M0275,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_014_03,BIT,M0276,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_015_03,BIT,M0277,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_016_02,BIT,M0278,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_017_02,BIT,M0279,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_018_02,BIT,M0280,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_019_02,BIT,M0281,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_020_02,BIT,M0282,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_021_02,BIT,M0283,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_022_02,BIT,M0284,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_023_02,BIT,M0285,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_024_02,BIT,M0286,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_025_02,BIT,M0287,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_026_02,BIT,M0288,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_027_02,BIT,M0289,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_028_02,BIT,M0290,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_029_02,BIT,M0291,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_030_02,BIT,M0292,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_031_02,BIT,M0293,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_032_02,BIT,M0294,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_033_02,BIT,M0295,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_034_02,BIT,M0296,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_035_02,BIT,M0297,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
